feature,feature value,n_samples,precision,recall,f1
workclass,Self-emp-inc,222,0.7536231884057971,0.8813559322033898,0.8124999999999999
workclass,?,363,0.7931034482758621,0.6388888888888888,0.7076923076923076
workclass,Private,4597,0.7955390334572491,0.6362735381565907,0.7070484581497799
workclass,Local-gov,389,0.7521367521367521,0.7333333333333333,0.7426160337552742
workclass,Self-emp-not-inc,500,0.8468468468468469,0.6573426573426573,0.7401574803149606
workclass,Federal-gov,195,0.7283950617283951,0.7763157894736842,0.7515923566878981
workclass,State-gov,245,0.7121212121212122,0.7121212121212122,0.7121212121212122
workclass,Never-worked,1,1.0,1.0,1.0
workclass,Without-pay,1,1.0,1.0,1.0
education,Doctorate,84,0.8333333333333334,0.873015873015873,0.8527131782945736
education,Some-college,1475,0.6877637130801688,0.5821428571428572,0.6305609284332689
education,Bachelors,1096,0.7725409836065574,0.8627002288329519,0.8151351351351352
education,HS-grad,2120,0.7777777777777778,0.35103244837758113,0.48373983739837395
education,5th-6th,51,1.0,1.0,1.0
education,9th,106,1.0,0.14285714285714285,0.25
education,Masters,318,0.8520408163265306,0.9175824175824175,0.8835978835978835
education,Assoc-voc,274,0.7796610169491526,0.5411764705882353,0.6388888888888888
education,Prof-school,114,0.8333333333333334,0.963855421686747,0.8938547486033519
education,11th,244,1.0,0.45454545454545453,0.625
education,Assoc-acdm,191,0.9069767441860465,0.7090909090909091,0.7959183673469388
education,1st-4th,28,1.0,0.5,0.6666666666666666
education,12th,79,1.0,0.25,0.4
education,7th-8th,120,1.0,0.0,0.0
education,10th,204,1.0,0.2,0.33333333333333337
education,Preschool,9,1.0,1.0,1.0
marital-status,Never-married,2181,0.803921568627451,0.4606741573033708,0.5857142857142857
marital-status,Married-civ-spouse,2977,0.7779578606158833,0.7158836689038032,0.7456310679611651
marital-status,Divorced,883,0.875,0.4077669902912621,0.5562913907284768
marital-status,Widowed,182,0.7142857142857143,0.45454545454545453,0.5555555555555556
marital-status,Married-spouse-absent,86,1.0,0.6,0.7499999999999999
marital-status,Separated,199,1.0,0.375,0.5454545454545454
marital-status,Married-AF-spouse,5,1.0,0.0,0.0
occupation,Prof-specialty,818,0.7913486005089059,0.8638888888888889,0.8260292164674635
occupation,?,364,0.7931034482758621,0.6388888888888888,0.7076923076923076
occupation,Exec-managerial,808,0.8033980582524272,0.8465473145780051,0.8244084682440846
occupation,Craft-repair,800,0.7128712871287128,0.391304347826087,0.5052631578947369
occupation,Adm-clerical,819,0.6907216494845361,0.5447154471544715,0.6090909090909091
occupation,Other-service,684,0.75,0.125,0.21428571428571427
occupation,Sales,718,0.7873563218390804,0.6715686274509803,0.7248677248677248
occupation,Tech-support,189,0.7708333333333334,0.6491228070175439,0.7047619047619048
occupation,Machine-op-inspct,392,1.0,0.3269230769230769,0.4927536231884058
occupation,Transport-moving,322,0.8571428571428571,0.29508196721311475,0.43902439024390244
occupation,Handlers-cleaners,252,0.8,0.3333333333333333,0.47058823529411764
occupation,Farming-fishing,203,0.9,0.42857142857142855,0.5806451612903225
occupation,Protective-serv,121,0.7297297297297297,0.6428571428571429,0.6835443037974683
occupation,Priv-house-serv,20,1.0,1.0,1.0
occupation,Armed-Forces,3,1.0,1.0,1.0
relationship,Own-child,1032,0.8571428571428571,0.4,0.5454545454545455
relationship,Husband,2607,0.7757352941176471,0.717687074829932,0.745583038869258
relationship,Other-relative,190,1.0,0.4444444444444444,0.6153846153846153
relationship,Unmarried,712,0.9473684210526315,0.4186046511627907,0.5806451612903226
relationship,Not-in-family,1636,0.8045977011494253,0.42424242424242425,0.5555555555555556
relationship,Wife,336,0.7986111111111112,0.71875,0.7565789473684211
race,White,5533,0.7871125611745514,0.6843971631205674,0.7321699544764797
race,Black,662,0.7681159420289855,0.5698924731182796,0.654320987654321
race,Asian-Pac-Islander,200,0.6888888888888889,0.5961538461538461,0.6391752577319588
race,Amer-Indian-Eskimo,73,0.8,0.4444444444444444,0.5714285714285714
race,Other,45,1.0,1.0,1.0
sex,Male,4355,0.7786391042204995,0.6832955404383976,0.7278582930756843
sex,Female,2158,0.8138297872340425,0.6244897959183674,0.7066974595842958
native-country,United-States,5835,0.7883211678832117,0.6740638002773925,0.7267289719626169
native-country,Thailand,7,1.0,1.0,1.0
native-country,China,14,1.0,0.75,0.8571428571428571
native-country,Nicaragua,11,1.0,0.0,0.0
native-country,Mexico,111,0.5,0.3333333333333333,0.4
native-country,Canada,28,0.5,0.4,0.4444444444444445
native-country,South,12,1.0,0.16666666666666666,0.2857142857142857
native-country,?,125,0.7368421052631579,0.875,0.7999999999999999
native-country,India,18,0.7,1.0,0.8235294117647058
native-country,Italy,13,1.0,0.625,0.7692307692307693
native-country,Portugal,7,1.0,0.0,0.0
native-country,Vietnam,15,1.0,1.0,1.0
native-country,Puerto-Rico,22,1.0,0.75,0.8571428571428571
native-country,Dominican-Republic,12,1.0,1.0,1.0
native-country,El-Salvador,21,1.0,1.0,1.0
native-country,Germany,28,0.8,0.5714285714285714,0.6666666666666666
native-country,Philippines,41,0.6923076923076923,0.75,0.7199999999999999
native-country,England,22,0.6666666666666666,0.5714285714285714,0.6153846153846153
native-country,Yugoslavia,8,1.0,0.5,0.6666666666666666
native-country,Poland,12,1.0,1.0,1.0
native-country,Jamaica,21,0.0,1.0,0.0
native-country,Outlying-US(Guam-USVI-etc),4,1.0,1.0,1.0
native-country,Scotland,4,1.0,1.0,1.0
native-country,Cambodia,3,1.0,0.0,0.0
native-country,Iran,12,0.3333333333333333,0.3333333333333333,0.3333333333333333
native-country,Columbia,11,0.0,1.0,0.0
native-country,Haiti,8,1.0,1.0,1.0
native-country,Guatemala,21,1.0,0.5,0.6666666666666666
native-country,Taiwan,7,0.75,1.0,0.8571428571428571
native-country,Ecuador,3,1.0,0.0,0.0
native-country,Cuba,12,1.0,0.5,0.6666666666666666
native-country,Greece,4,1.0,1.0,1.0
native-country,Japan,16,0.8,0.5714285714285714,0.6666666666666666
native-country,France,2,0.0,1.0,0.0
native-country,Hungary,2,1.0,1.0,1.0
native-country,Honduras,3,1.0,1.0,1.0
native-country,Trinadad&Tobago,4,0.0,1.0,0.0
native-country,Peru,7,1.0,1.0,1.0
native-country,Hong,3,1.0,1.0,1.0
native-country,Ireland,2,1.0,1.0,1.0
native-country,Laos,2,1.0,1.0,1.0
